Library	Manuscript	Type	FileName	Bibliographical record	IIIF document ID	IIIF image ID / image ID	Height (px)	Width (px)
Bibliothèque nationale de France	Arabe 2297	manuscript	BnF-2297_btv1b11001977p_7.xml	https://gallica.bnf.fr/ark:/12148/btv1b11001977p	btv1b11001977p	7	3552	4736
Bibliothèque nationale de France	Arabe 2297	manuscript	BnF-2297_btv1b11001977p_94.xml	https://gallica.bnf.fr/ark:/12148/btv1b11001977p	btv1b11001977p	94	3648	4704
Bibliothèque nationale de France	Arabe 4617	manuscript	BnF-4617_btv1b10030580s_66.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030580s	btv1b10030580s	66	6001	8017
Bibliothèque nationale de France	Arabe 4617	manuscript	BnF-4617_btv1b10030580s_73.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030580s	btv1b10030580s	73	6001	8017
Bibliothèque nationale de France	Arabe 4617	manuscript	BnF-4617_btv1b10030580s_93.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030580s	btv1b10030580s	93	6001	8017
Bibliothèque nationale de France	Arabe 4617	manuscript	BnF-4617_btv1b10030580s_104.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030580s	btv1b10030580s	104	6001	8049
Bibliothèque nationale de France	Arabe 4617	manuscript	BnF-4617_btv1b10030580s_111.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030580s	btv1b10030580s	111	6001	8017
Bibliothèque nationale de France	Arabe 4617	manuscript	BnF-4617_btv1b10030580s_114.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030580s	btv1b10030580s	114	4501	6025
Bibliothèque nationale de France	Arabe 4617	manuscript	BnF-4617_btv1b10030580s_122.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030580s	btv1b10030580s	122	6001	8033
Bibliothèque nationale de France	Arabe 6898	manuscript	BnF-6898_btv1b10030178f_26.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030178f	btv1b10030178f	26	2882	4196
Bibliothèque nationale de France	Arabe 6898	manuscript	BnF-6898_btv1b10030178f_33.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030178f	btv1b10030178f	33	2815	4380
Bibliothèque nationale de France	Arabe 6898	manuscript	BnF-6898_btv1b10030178f_63.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030178f	btv1b10030178f	63	2815	4403
Bibliothèque nationale de France	Arabe 6898	manuscript	BnF-6898_btv1b10030178f_71.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030178f	btv1b10030178f	71	2884	4502
Bibliothèque nationale de France	Arabe 6898	manuscript	BnF-6898_btv1b10030178f_84.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030178f	btv1b10030178f	84	2882	4429
Bibliothèque nationale de France	Arabe 6898	manuscript	BnF-6898_btv1b10030178f_112.xml	https://gallica.bnf.fr/ark:/12148/btv1b10030178f	btv1b10030178f	112	2882	4196
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_5.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	5	3177	4843
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_7.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	7	3177	4827
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_11.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	11	3177	4827
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_15.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	15	3177	4827
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_25.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	25	3177	4843
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_27.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	27	3177	4843
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_29.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	29	3177	4844
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_32.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	32	3177	4709
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_36.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	36	3177	4881
Bibliothèque nationale de France	Arabe 7024	manuscript	BnF-7024_btv1b10031132f_38.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031132f	btv1b10031132f	38	3177	4843
Bibliothèque nationale de France	Arabe 7214	manuscript	BnF-7214_btv1b10031231c_9.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031231c	btv1b10031231c	9	3150	4433
Bibliothèque nationale de France	Arabe 7214	manuscript	BnF-7214_btv1b10031231c_12.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031231c	btv1b10031231c	12	3150	4417
Bibliothèque nationale de France	Arabe 7214	manuscript	BnF-7214_btv1b10031231c_17.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031231c	btv1b10031231c	17	3150	4267
Bibliothèque nationale de France	Arabe 7214	manuscript	BnF-7214_btv1b10031231c_30.xml	https://gallica.bnf.fr/ark:/12148/btv1b10031231c	btv1b10031231c	30	3231	4513
BULAC	BULAC.MS.ARA.410	manuscript	BULAC_MS_ARA_410_0006.xml	https://bina.bulac.fr/ARA/MS.ARA.410	NC	330799	1264	982
BULAC	BULAC.MS.ARA.410	manuscript	BULAC_MS_ARA_410_0081.xml	https://bina.bulac.fr/ARA/MS.ARA.410	NC	330874	1225	982
BULAC	BULAC.MS.ARA.410	manuscript	BULAC_MS_ARA_410_0197.xml	https://bina.bulac.fr/ARA/MS.ARA.410	NC	330990	1266	982
BULAC	BULAC.MS.ARA.410	manuscript	BULAC_MS_ARA_410_0249.xml	https://bina.bulac.fr/ARA/MS.ARA.410	NC	331042	1266	982
BULAC	BULAC.MS.ARA.410	manuscript	BULAC_MS_ARA_410_0350.xml	https://bina.bulac.fr/ARA/MS.ARA.410	NC	331143	1243	982
BULAC	BULAC.MS.ARA.427	manuscript	BULAC_MS_ARA_427_0036.xml	https://bina.bulac.fr/ARA/MS.ARA.427	NC	333243	1417	945
BULAC	BULAC.MS.ARA.427	manuscript	BULAC_MS_ARA_427_0068.xml	https://bina.bulac.fr/ARA/MS.ARA.427	NC	333275	1417	945
BULAC	BULAC.MS.ARA.427	manuscript	BULAC_MS_ARA_427_0291.xml	https://bina.bulac.fr/ARA/MS.ARA.427	NC	333498	1417	952
BULAC	BULAC.MS.ARA.427	manuscript	BULAC_MS_ARA_427_0428.xml	https://bina.bulac.fr/ARA/MS.ARA.427	NC	333635	1417	952
BULAC	BULAC.MS.ARA.427	manuscript	BULAC_MS_ARA_427_0458.xml	https://bina.bulac.fr/ARA/MS.ARA.427	NC	333665	1417	952
BULAC	BULAC.MS.ARA.436C	manuscript	BULAC_MS_ARA_436C_0005.xml	https://bina.bulac.fr/ARA/MS.ARA.436C	NC	331170	1296	982
BULAC	BULAC.MS.ARA.436C	manuscript	BULAC_MS_ARA_436C_0006.xml	https://bina.bulac.fr/ARA/MS.ARA.436C	NC	331171	1296	982
